注文ID,地域,配送会社,距離,荷物重量,天気,交通量,発送準備時間,過去遅延回数,注文金額,当日配送件数,ドライバー経験年数,再配達回数,時期,配送先種別,配達希望時間帯,配送状態
ORD-09579,宮城県, ヤマト運輸 ,,4.2kg,SUNNY,18,1.5h,0,"11,700円",120,7.4年, 0回 ,通常期,OFFICE,MORNING,通常
ORD-17318,広島,郵便,298,2.8,SNOW, 66 ,3.4,0," 1,996円 ",108,0.7,0回,通常期,住宅, 午後 ,遅延注意
ORD-27274,OKINAWA,Japan Post, 724km ,4.4kg,SUNNY,63,2.4,0,"14,872円",149件,6.7年,1回,通常期,住宅,夜間,遅延注意
ORD-05179,広島,ヤマト運輸,504km,1.9,SUNNY,37, 2.4h ,1," 5,429円 ",125,8.6,0回, 繁忙期 ,OFFICE, 午後 ,通常
ORD-11525, 大阪 ,佐川急便,211,2.3kg, 晴れ ,55,2.8,1,"2,645",100件, 4.5年 ,0, 通常期 , 住宅 , 午後 ,通常
ORD-12073,OKINAWA,日本郵便,502,5.8,雨天,61,6.6h,3,"7,275",146件,1.0,0回,通常期,住宅,AFTERNOON,遅延危険
ORD-20950,HOKKAIDO,Yamato,458, 3.8kg , 晴れ ,54,5.1h,0,"8,414円",92,7.0年,0回,NORMAL,会社,午前,通常
ORD-08529, 東京 ,ヤマト,13,不明,晴れ,52,1.4,0,"3,968円",127,2.0,0, 通常期 , 住宅 , 夜間 ,通常
ORD-19882,OKINAWA,ヤマト運輸,487km,2.3kg,雨,99,3.2h,1,"11,319円",72件,4.2,0回,NORMAL,HOME, 午前 ,遅延注意
ORD-07932,広島,ヤマト運輸,520km,4.2kg,SUNNY,53,1.1h,4,"2,767",27件, 6.9年 ,1,通常期, 会社 , 午後 ,通常
ORD-10831,名古屋,Yamato,499,8.9,雪 ,58, 3.4h ,1,"2,883",114件,不明, 0回 , 通常期 ,住宅,午前,通常
ORD-17224,名古屋, ヤマト運輸 ,不明,2.2kg,RAIN,43,2.0h, 5 ,"3,782円",117,0.5,1,NORMAL,住宅,AFTERNOON,遅延危険
ORD-28973,仙台,ヤマト運輸,165km,2.2, 晴れ , 100 ,,4,"3,280円",78件,1.1年,0,NORMAL, 会社 ,夜間,遅延注意
ORD-07488,沖縄,ヤマト運輸,431,2.6kg, 晴れ ,不明,2.7,0,"6,105",145,1.3年,1回, 通常期 , 住宅 , 夜間 ,通常
ORD-10228,北海道,Japan Post,520,7.8kg,晴れ,23,2.6h,0,"12,681円", 118件 ,2.2,0,通常期,HOME, 夜間 ,通常
ORD-10838,大阪府, ヤマト運輸 ,321,1.6kg, 晴れ ,85,,0,"4,027",110件,5.9年,0回,通常期, 住宅 ,MORNING,通常
ORD-27006,名古屋,ヤマト運輸,367km,1.9,晴れ,38,8.7h,1,"23,114円",126,1.2,0回,通常期, 会社 ,午後,通常
ORD-07669,愛知県, 佐川急便 ,431,3.7kg,SUNNY,25,4.6,1,"4,153円",78件,6.5年,0回,PEAK,HOME, 午後 ,通常
ORD-09342,愛知県,佐川,411km,3.9,RAIN,,1.3,4,"6,348",90, 2.1年 ,0,通常期, 住宅 , 午後 ,通常
ORD-07248,大阪府,ヤマト運輸,235,2.1kg,雨,25,3.5, 1 ,"10,781",39件,2.1年,0,NORMAL, 住宅 ,AFTERNOON,通常
ORD-17781,HIROSHIMA,Japan Post,252,5.0,雨,46,1.2h,0,"6,878",87件,2.2年,1, 通常期 , 住宅 ,午後,通常
ORD-00978,沖縄県, 佐川急便 ,383km,1.1kg,SNOW,54,,4,"9,880",62件,4.1, 0回 ,繁忙期, 住宅 ,AFTERNOON,遅延注意
ORD-20135,広島,郵便,426km,1.3,晴れ,33,3.1h,0,"3,481円",86,9.2,-1回,NORMAL,住宅,午後,通常
ORD-07787,愛知県,佐川,560km,3.2,晴れ,77,4.6h,3,"3,945",129,-1年,0, 通常期 ,住宅,午後,通常
ORD-08672, 大阪 ,佐川,181km,2.7kg,雨天,53,3.1,0,"10,953",95,1.6年,0,NORMAL, 住宅 ,午前,通常
ORD-03823,福岡, 日本郵便 ,337,2.6, 晴れ ,42,3.2h,0,"2,037",89件,3.2年,0,NORMAL,住宅,午後,通常
ORD-23693,福岡県,Yamato,,1.6kg,SNOW,28,2.9h,0,"12,573",126件,3.1,0, 通常期 ,OFFICE,午後,通常
ORD-24917,AICHI, ヤマト運輸 ,389km,1.1kg,SUNNY,20,5.0,0,"5,639円",132件,7.2,0, 繁忙期 ,OFFICE,午後,通常 
ORD-07996,東京,Sagawa,310km,7.9kg,晴れ,58,1.4h,0,"3,404円",64,7.7,0,通常期, 住宅 ,午前,通常
ORD-21389,北海道 ,佐川,472,5.9,SUNNY,34,4.0,1,"2,783",83件,5.7年,0回,NORMAL,住宅,AFTERNOON,　通常
ORD-27071,東京都,Sagawa,306km,3.4kg,晴れ,44,6.3,3,"7,403",35,1.4,0回,NORMAL,会社, 午前 ,通常
ORD-24351,HOKKAIDO,日本郵便,189,1.7,SNOW,83,1.1h,0,"5,834",127件,1.8,0回,繁忙期,住宅,AFTERNOON,遅延注意
ORD-21371,東京都, 佐川急便 ,474,2.8,晴れ,53,300h,4,"8,186",76,1.2,0回, 通常期 ,住宅,午前,通常 
ORD-23254,HIROSHIMA, 佐川急便 ,361,7.2kg,SUNNY,25,3.7h,2,"8,398円",67,,0,通常期,住宅,MORNING,通常
ORD-28398,大阪府,Yamato,265,1.3,SUNNY,18,2.5,0,"5,865",161件,0.5,0,通常期, 住宅 , 午後 ,通常
ORD-16436,名古屋, 日本郵便 ,363,8.6kg,SUNNY,69,2.9, 1 ,"8,075円",88,5.8,0, 通常期 ,住宅,夜間,遅延注意
ORD-21942,福岡県,日本郵便,370km,1.2,雨,56,4.2,0," 8,111円 ",82件, 0.3年 ,0回, 通常期 ,HOME, 午後 ,通常
ORD-01991,TOKYO,佐川,91km,0.6kg,晴れ,63,3.5h,1,755,87件,7.2年, 0回 ,通常期,OFFICE, 午後 ,通常
ORD-22015,東京,佐川,176km,1.0,雨,,3.3,0," 21,130円 ",196,0.3,1回, 繁忙期 ,HOME,MORNING,遅延注意
ORD-22973,北海道 ,日本郵便,239,6.6, 晴れ , 58 ,1.5,2,"17,025",140件,0.4,0回, 通常期 ,OFFICE,MORNING,通常
ORD-04716,名古屋,佐川急便,275km,1.2kg,SUNNY,84, 4.3h ,0," 8,550円 ",105,1.0,0回,PEAK,HOME, 午後 ,通常
ORD-13737,広島県,佐川急便,558,3.2,雪 ,88,3.2,0,"8,844", 93件 , 4.5年 ,0回,通常期,住宅,MORNING,遅延注意
ORD-12710,宮城県,ヤマト,529,3.5,晴れ,30, 0.8h ,1,"5,356",197件,11.9,2,通常期,住宅,夜間,通常
ORD-11235,HOKKAIDO, 日本郵便 , 373km ,4.7,雨,41,2.4h,0,"10,080円",66件,99年,0,通常期,住宅,午前,通常
ORD-22804,FUKUOKA, 日本郵便 ,126,1.4kg, 晴れ ,36,1.6h,1,"4,359円",141件,1.8,0,通常期, 会社 , 午後 ,通常
ORD-18816,大阪府,佐川急便,662,7.7,雨天,44,2.6,0,"7,082円",171,18.0,0回,PEAK,HOME, 午前 ,遅延注意
ORD-23383,AICHI, ヤマト運輸 ,328km,2.6,SUNNY, 94 ,2.2h,1," 5,337円 ",33件,11.6年,0,NORMAL, 住宅 ,AFTERNOON,通常
ORD-04510,HIROSHIMA, 佐川急便 ,333,0.8,雨,44,2.9h,1,"2,838", 116件 ,5.1年,0,繁忙期, 会社 ,午後,　通常
ORD-08670,北海道 ,ヤマト,471,4.7kg, 晴れ ,37,6.7h,0," 14,214円 ",119件,0.3年,0回,通常期,HOME, 午後 ,通常
ORD-01330,大阪府,ヤマト運輸,149,4.4,雪 ,35,10.4,1,-500円,84件,0.6, 1回 ,NORMAL,会社,AFTERNOON,遅延注意
ORD-03763,HIROSHIMA, 日本郵便 ,383km,5.6,晴れ,91,2.5h,0,"2,574",67,0.4年,0, 通常期 ,住宅,午後,通常
ORD-12396,東京都,Yamato, 288km ,2.0kg,晴れ,94,不明,0,"2,102円",116件,0.3,0回, 通常期 ,HOME, 午後 ,通常
ORD-04016,広島県,佐川, 536km ,2.0kg,雪,26,2.4h,1,,123件,6.4年,2,通常期, 住宅 , 午後 ,遅延注意
ORD-02328,AICHI,Yamato,407,6.2,晴れ,25,1.3h, 0 ," 2,629円 ",86件,3.6,1回,通常期, 住宅 ,午後,通常
ORD-25517,福岡,ヤマト運輸,290km,5.3kg,雨天,54,2.1,1,"3,274円",88件,6.0年,0回, 通常期 ,OFFICE,MORNING,通常
ORD-04986,北海道 , ヤマト運輸 ,86,1.3,SUNNY,52,2.0h,,"11,790円",129,0.1年,0回, 通常期 ,住宅,AFTERNOON,通常
ORD-15145,北海道 , 日本郵便 ,121km,1.8kg,雨,36,3.0,1,"4,975",115,8.3年,3,NORMAL,住宅, 午後 ,通常
ORD-23803,仙台,日本郵便,299km,1.0kg,SUNNY,24,0.9h, 0 ,"9,325",83件,不明,0, 通常期 ,OFFICE,AFTERNOON,通常
ORD-08611,北海道,郵便,464km,2.6kg,雪, 51 ,2.6h,1,"6,852",83件,2.1年,1回,通常期,HOME, 夜間 ,遅延注意
ORD-17243,福岡県,Japan Post,271,3.2kg, 晴れ ,74,3.2,3,"7,575円",125件,1.1年,0,通常期,HOME, 午前 ,遅延注意
ORD-12332,名古屋, 佐川急便 ,195,1.7,SUNNY, 65 ,1.7,2,"19,691",86,5.2年,0回,PEAK, 住宅 ,午後,遅延注意
ORD-05321,広島,Japan Post,769km,2.2kg, 晴れ ,71,3.8,0,"6,184円",79,0,1,通常期,住宅,AFTERNOON,遅延注意
ORD-29029,MIYAGI,ヤマト運輸,333km,2.7kg, 晴れ ,61,5.0h,3,"2,474円",17件,0.6年,2回,NORMAL, 会社 ,AFTERNOON,遅延注意 
ORD-18658,大阪府,郵便,268, 3.5kg , 晴れ ,67, 4.9h ,0,"1,568円",150件,0.5年,0回,NORMAL, 住宅 , 午後 ,　通常
ORD-19583,HOKKAIDO,日本郵便,699,4.3kg, 晴れ ,35,1.2,3," 1,355円 ",82,2.2,0回, 通常期 ,HOME,MORNING,通常
ORD-02825,MIYAGI,Japan Post,不明,5.7,雪 ,24,4.3h,0,"6,890",130件,3.7年,0,NORMAL, 住宅 ,AFTERNOON,遅延注意
ORD-22866,大阪,Sagawa,315,5.3, 晴れ , 20 , 2.6h ,1,,127,8.3,0回, 通常期 ,OFFICE, 夜間 ,通常
ORD-13540,北海道,ヤマト運輸,423,3.9kg,SUNNY,48,7.7,0,"4,245円",109,14.5年,1回,PEAK, 会社 , 午前 ,通常
ORD-05215,HIROSHIMA,日本郵便, 307km ,2.2,雨,21,4.3,0,"28,908",62件,0.7年,0, 通常期 ,会社,夜間,通常
ORD-00844,AICHI, 日本郵便 ,446km,6.3kg,晴れ,46,3.1h,0,"15,318",103,4.8,0,通常期,HOME,午前,通常
ORD-18438, 東京 ,佐川,12,4.7,雨天,51,7.6h,0,"9,148円",89,15.6, 0回 ,NORMAL, 住宅 , 午前 ,通常
ORD-12729,沖縄,佐川,610,1.7kg,晴れ,38,2.6h,0,"7,140円",30,4.1年,0,PEAK,HOME, 午前 ,通常
ORD-06623,広島,Japan Post,285,1.5,雪,23,2.8,2,"3,057",141件,6.3,0, 繁忙期 , 住宅 , 夜間 ,遅延注意
ORD-13927,OSAKA,佐川,405,6.3kg,SNOW,46,2.5,4,"8,616",128,0.5年,1,通常期,住宅,MORNING,遅延注意
ORD-03852,沖縄県,Sagawa,591, 4.8kg , 晴れ ,50,3.3h,0,"3,514",85件,0.5年,0回,通常期, 会社 ,AFTERNOON,通常
ORD-25760,大阪府,郵便,195,10.6kg,SUNNY,23,,0,"6,555",98, 9.2年 ,0回, 通常期 ,住宅, 午後 ,通常
ORD-09238, 東京 ,Yamato,,2.0kg,SNOW,1,1.0h,1,"5,422",166,0.1, 1回 ,繁忙期,HOME,MORNING,遅延注意
ORD-24489, 東京 ,Yamato, 199km ,5.5kg,SUNNY,29,2.3,0,"1,729",73,2.4,0回,通常期,HOME,MORNING,通常
ORD-18259,北海道, ヤマト運輸 ,249km, 4.9kg ,SUNNY,45,5.0h,0," 8,383円 ", 154件 ,5.0,1, 通常期 ,HOME,AFTERNOON,通常
ORD-08893,沖縄,Sagawa,521,3.5kg,雨,39,2.5h,0,"1,495円",67件,8.7年,0,繁忙期, 住宅 ,午後,通常
ORD-28385,大阪,佐川, 456km ,,晴れ,60,1.8h,4,"6,410",44,1.4年,0,NORMAL, 住宅 ,夜間,遅延注意
ORD-03422,HIROSHIMA,郵便,314,2.3kg,晴れ,49,2.8h,0,"3,171",95件, 1.0年 ,1,PEAK,住宅,夜間,遅延注意
ORD-13691,OKINAWA,佐川急便,480,2.4,晴れ,19,1.2,3,"1,587円",105件,14.0年,0,NORMAL,HOME, 午後 ,通常
ORD-23076, 東京 ,日本郵便,384,0.6kg,RAIN,63,3.9,2,"17,367円",86,4.3年,0, 繁忙期 ,住宅,MORNING,通常
ORD-21515,東京都,Yamato,259,4.3kg, 晴れ ,74,4.9,,"6,832",123,5.0,1,通常期,住宅,夜間,通常
ORD-12195,福岡,Japan Post,537km,1.5,SUNNY,45,1.7h,0,"6,748円",136,8.5年,0回,通常期, 会社 , 午後 ,通常
ORD-02932,OSAKA, 日本郵便 ,196,3.5kg, 晴れ ,56,6.8h,2,"4,894",89,11.8年,0回,NORMAL,HOME,AFTERNOON,通常
ORD-11814,HIROSHIMA, 日本郵便 ,270km,1.9,SUNNY,17,2.5,0,"7,525円",158,4.9,0回, 通常期 ,住宅,午後,通常
ORD-19822,MIYAGI,ヤマト,444km,3.1kg,SUNNY,47,3.2, 0 ,"21,176円",50件,9.0年,1,PEAK, 住宅 ,AFTERNOON,通常
ORD-02475,北海道 ,ヤマト, 287km ,6.3,雨,22,1.3,0,,132,1.8,0回,通常期,住宅,AFTERNOON,通常
ORD-13114,沖縄,Yamato,868km,6.9kg, 晴れ , 68 ,3.6h,3,"5,140",137,6.9年,0回,PEAK,HOME, 夜間 ,遅延注意
ORD-18497,宮城県,佐川,452km,3.1, 晴れ ,51,3.0h,3,"2,552",164件,1.1,1回, 通常期 , 会社 ,MORNING,遅延注意
ORD-05944,TOKYO,ヤマト,5km,2.2kg,晴れ,21,4.1h,0,"3,459円",95件,4.7年,0,繁忙期,住宅,NIGHT,通常
ORD-28666,愛知県,Yamato,350km,3.5kg,RAIN, 42 ,4.4,0,"5,651円",60,5.5,0回, 通常期 ,住宅,夜間,通常
ORD-27667,OKINAWA,日本郵便,365km,1.8,晴れ,82, 5.3h ,2,"4,948",58,0.6,0回,NORMAL, 会社 , 夜間 ,通常
ORD-19707,北海道,ヤマト運輸,412km,5.6,SNOW, 71 , 2.5h ,0,"3,952円",42, 2.3年 ,0,PEAK,住宅, 午前 ,遅延注意
ORD-10890,宮城県,Sagawa,217,3.6,雨, 35 ,2.7h,1,"2,854",96,0.1年,0回,通常期, 住宅 ,夜間,通常
ORD-22959,仙台, ヤマト運輸 ,724,3.5,SUNNY,26,3.4,1,"1,348円",121,2.9年,0,NORMAL,会社, 午前 ,通常
ORD-21037,東京,Japan Post,,3.0,雪 ,57,-2h,2,"3,435円",117,0.3, 0回 , 通常期 ,HOME,NIGHT,遅延注意 
ORD-22206,沖縄,郵便,558km,5.1,雨天,23, 1.5h ,0,"4,245円",116,4.7,0, 通常期 , 住宅 ,午後,　通常
ORD-29645,FUKUOKA,日本郵便,372,26.7kg,SNOW, 74 , 2.2h ,0," 4,268円 ",108,1.2,0,通常期,住宅, 夜間 ,遅延危険
ORD-12310,沖縄, 佐川急便 ,752,2.2, 晴れ ,35,,4,"4,124円",79,6.2年,0,通常期, 住宅 , 午後 ,通常
ORD-28202,OSAKA,佐川急便,306km,1.2,雪,39,4.7,4,"2,735円", 155件 ,6.9年,0回,通常期,OFFICE,NIGHT,遅延注意 
ORD-06158,MIYAGI, ヤマト運輸 ,536,4.1kg, 晴れ ,38,2.8,2,"4,680",83件,5.4,0回,NORMAL,会社,MORNING,通常
ORD-01434, 東京 ,日本郵便,142,2.7kg,SUNNY,不明,5.8,0,"6,666",196件,1.7年,2,通常期,住宅, 午後 ,通常
ORD-03442,FUKUOKA,郵便, 362km ,0.7kg,雨,22,6.4h,0,"6,284",162,2.9年,0, 繁忙期 , 会社 ,AFTERNOON,通常
ORD-15041,仙台, 佐川急便 ,304,6.6,雨,0,3.3,1," 2,415円 ",102件,6.1,0,NORMAL,HOME,午後,通常
ORD-23534,福岡県, 佐川急便 ,,3.6kg,雪 ,35,,1,"3,756円",24,3.4,1, 通常期 ,住宅,午前,通常 
ORD-11046,福岡県,日本郵便,,2.3kg,晴れ,35,1.9,0,"15,376円",119件,0.1年,0,通常期, 住宅 , 夜間 ,通常
ORD-08301,東京都,日本郵便,446,0.7kg,RAIN,50,2.4,2," 6,115円 ",77,-1年,1, 通常期 ,住宅, 夜間 ,通常
ORD-25604,沖縄県,佐川,397km,2.0,SUNNY,47,2.5,2,"2,299円", 77件 ,2.0,0回,通常期, 住宅 , 午後 ,通常
ORD-09023,大阪府, ヤマト運輸 ,239km,0.6kg,晴れ,62,1.9,0,"2,070円", 151件 ,8.5年,1回,繁忙期,会社,夜間,遅延注意
ORD-12595,仙台, 佐川急便 ,313km,1.8kg,晴れ,12,3.4,,"1,815",68,2.9,0回, 通常期 ,住宅,AFTERNOON,通常
ORD-05458,OKINAWA,Yamato, 411km ,1.0,雪,0,1.4,0,846円,90件,2.1,0,NORMAL,HOME, 午後 ,通常
ORD-24015,福岡, ヤマト運輸 ,544km,1.4,晴れ, 41 , 2.5h ,0,"7,033",66,5.7年,0, 通常期 ,HOME,NIGHT,通常
ORD-28074,AICHI,佐川急便, 617km ,2.3kg,SUNNY,27,1.9,2,"3,006",55件,13.5,0回,繁忙期,住宅,NIGHT,通常
ORD-19604,東京都, 佐川急便 ,331km,6.3kg,雨, 68 ,1.5h,2,"4,628円",88件,4.6,0,通常期,HOME, 午後 ,遅延注意
ORD-21932,OSAKA,佐川,175,0.5kg, 晴れ ,21,1.1h,2,"10,729円",162, 13.1年 ,0,繁忙期,HOME, 午前 ,　通常
ORD-02108,OSAKA,郵便,303,2.3kg, 晴れ ,81,2.4h,0,"7,218円",98件,3.5年,0, 繁忙期 , 住宅 ,AFTERNOON,通常
ORD-14868,MIYAGI,ヤマト運輸,421km,2.5,晴れ,46, 1.6h ,0,"4,627",150件,0.6年,2回,PEAK,住宅,NIGHT,遅延注意
ORD-06598,沖縄, 日本郵便 ,392km,2.0kg,RAIN,30, 2.1h ,0,"7,378",88,,0回,繁忙期, 住宅 , 午後 ,通常
ORD-05318,愛知県, 佐川急便 ,374,4.8, 晴れ ,33,4.5,0,"8,765", 124件 ,13.4,0, 繁忙期 , 住宅 ,MORNING,通常
ORD-02700,仙台,郵便, 296km ,1.7,晴れ,28,2.5h,1,"14,100", 99件 ,1.0,0,通常期,HOME,AFTERNOON,通常
ORD-06690,FUKUOKA, ヤマト運輸 ,5,3.6kg, 晴れ ,88,2.6h, 0 ,"3,260",141, 0.2年 ,1回,繁忙期,HOME,NIGHT,遅延注意
ORD-16089,OKINAWA,佐川,463,2.8,SUNNY,72,2.9h, 0 ,"13,294",134, 5.5年 ,0回,NORMAL,住宅, 午後 ,通常
ORD-01868,MIYAGI,ヤマト, 516km ,,雨天,5,3.0,0,"1,220",137件,3.2年,0回,PEAK,住宅,NIGHT,遅延注意
ORD-24841,OKINAWA,ヤマト運輸,466km,1.9,雨天,23,3.6,-1,"1,810円",74,1.6,0,NORMAL,住宅,AFTERNOON,通常
ORD-03293,広島,郵便,273,1.4,晴れ,34,4.7,3,"7,161",135件,7.5,3回, 通常期 , 住宅 , 午後 ,通常
ORD-05181,大阪,ヤマト,300,1.8kg,SUNNY,25,1.7, 0 ,"2,261",91,10.1,0,繁忙期, 住宅 , 夜間 ,通常
ORD-15185,福岡県,日本郵便,251km,2.4kg,雨天,44,3.4h,0,"8,686円",89件,6.4年,1,PEAK,住宅, 夜間 ,遅延注意
ORD-03988,名古屋,ヤマト運輸,239,2.7kg,雨天,69,1.6h, 3 ,"4,829",220件, 8.0年 ,0回,PEAK, 住宅 ,AFTERNOON,遅延注意
ORD-11777,TOKYO, 佐川急便 ,340,7.6,SUNNY,81,5.1h,0,"5,493",96,0.3年,0, 通常期 , 住宅 ,AFTERNOON,遅延注意
ORD-06906,福岡県,佐川,443km,1.7,雪,8,1.7h,0,,85,9.4, 0回 ,NORMAL,HOME, 午後 ,通常
ORD-00432,宮城県,Japan Post,451,,SUNNY,82,2.2,1,"4,115円",103,1.6年,-1回,通常期,HOME,午後,通常
ORD-12621,大阪,ヤマト,104, 1.1kg ,RAIN,35,2.3h,1,"7,332",146件,6.1年,2回,繁忙期, 住宅 ,午前,通常
ORD-22091,HIROSHIMA,Sagawa,30km, 3.2kg ,SUNNY,2,1.9h,0,"7,478円", 120件 ,30,0回,NORMAL,会社,午後,通常
ORD-09567,北海道,佐川,457, 4.4kg ,雪,72,,0,"5,158円",126,6.4年,0,NORMAL,住宅,夜間,遅延注意
ORD-20281,AICHI,Yamato,394km,5.9kg,雨,46,2.7h,1,"2,559円",136,5.8, 0回 ,通常期,HOME,MORNING,通常
ORD-08271,広島, ヤマト運輸 ,308,3.9,晴れ,55, 3.5h ,2,"3,241円",62件,1.2,0回,NORMAL, 会社 ,AFTERNOON,遅延注意
ORD-03870,FUKUOKA, ヤマト運輸 ,298,1.5kg,晴れ,20, 3.7h ,0,"13,225",56,2.2年,1,通常期,住宅,午前,通常
ORD-28738,FUKUOKA, ヤマト運輸 ,377,11.4,SNOW,62,1.0h,0,"1,635",115,3.3,0,通常期,住宅, 午前 ,通常
ORD-29522,東京都,ヤマト運輸,,8.8kg,晴れ,56,1.6,1,"3,949円",132件,0.3,0回, 通常期 , 住宅 ,MORNING,通常
ORD-04678,OKINAWA, 佐川急便 ,520,4.6,雨, 31 ,, 1 ,"3,546円",158,3.3年,0回,通常期,会社, 夜間 ,遅延注意
ORD-28323, 東京 ,佐川,5km,14.7,雨,31,1.5h,4,"8,429",82件,-1年,0,PEAK,住宅, 夜間 ,遅延注意
ORD-00301,福岡,郵便,496km,10.2,SUNNY,39,4.8,0," 1,201円 ",138件,6.7年,0,通常期,住宅,午前,通常
ORD-21378,大阪,Japan Post,231, 6.3kg ,雨, 61 ,3.4h,1,"7,601",132件,2.0年,0,通常期, 会社 , 午後 ,通常
ORD-29329,北海道,Japan Post,404, 2.4kg ,SUNNY,76,,2,"5,416円",51,0.5年,1, 通常期 ,住宅,午後,遅延注意
ORD-15638,広島,Japan Post,472,9.4kg,RAIN,82,3.1,5,"1,366円",107,0.1,0回,通常期,会社,午後,遅延注意
ORD-22164,大阪, ヤマト運輸 ,344,5.7kg,雨天, 23 ,4.5h,0,"2,053",119件,15.1年,0回, 繁忙期 , 会社 , 夜間 ,通常
ORD-23296,OKINAWA,日本郵便,411km,,雨天, 75 ,1.9,1,"4,769円",22,0.1,2,NORMAL,住宅,AFTERNOON,遅延注意
ORD-13340,広島, ヤマト運輸 ,346,3.6,雨天,83,0.7,1,"5,278",134, 2.4年 ,0回, 通常期 ,HOME, 夜間 ,遅延注意
ORD-14983,広島県,Yamato,299,5.8kg,雨,37,5.7,1," 4,357円 ",119件,7.1年,0,繁忙期,住宅, 夜間 ,通常
ORD-10082,東京都,Japan Post,327,1.2,晴れ,84,2.5h,0,"11,877",58,4.3年,0回,繁忙期,会社,MORNING,遅延注意
ORD-17301,仙台,ヤマト運輸,506,11.0, 晴れ ,45,1.1h,0," 2,648円 ",123,5.4, 0回 ,NORMAL,HOME,午後,通常
ORD-27140,広島,佐川,481,3.6,SNOW,70,2.9h, 3 ,"1,935",57件,15.9,0,NORMAL,住宅,午後,遅延注意
ORD-29307,東京都, 日本郵便 ,331km,1.3,雨天,67,0.8h,1,"8,465", 149件 ,11.0年,0回,通常期, 住宅 ,MORNING,遅延注意
ORD-02009, 大阪 , 佐川急便 ,429,4.4kg,雨,13,,0,"3,391",183,1.7年,0回,通常期,OFFICE, 午後 ,通常
ORD-09635,AICHI,Japan Post,565km,4.4,SUNNY,58,3.2,0," 8,678円 ",61,3.2年,1回, 繁忙期 ,OFFICE,AFTERNOON,通常
ORD-00289,福岡県, 日本郵便 ,269,1.8kg,RAIN,54,4.4h,2,"9,727円",56件,0.4,0,NORMAL,住宅, 夜間 ,遅延注意
ORD-09094,MIYAGI,ヤマト運輸,315km,7.1kg,晴れ, 78 ,2.0h,0,"15,309",106,0.9,0回,NORMAL, 住宅 ,AFTERNOON,遅延注意
ORD-05212,OKINAWA, 日本郵便 ,637km,5.5, 晴れ ,28,,2,"2,320",82件,8.4年,0回,通常期,住宅, 午前 ,　通常
ORD-09291,FUKUOKA, 佐川急便 ,362km,2.3,SUNNY,16,3.0h,0,"10,745", 133件 ,1.4年,0回,PEAK,住宅,NIGHT,通常
ORD-10964,大阪府,Japan Post,260km,1.0, 晴れ ,48,5.4h,0," 5,861円 ",88件,9.4,,NORMAL,会社,午後,通常
ORD-20969,FUKUOKA,ヤマト, 160km ,3.5kg,SUNNY,41,2.2,0,"6,056円",146件,,0,PEAK, 住宅 , 夜間 ,通常
ORD-14276,福岡, ヤマト運輸 ,176,3.4kg,雪 ,32,1.7,0,"4,521",102件,1.4年,0,NORMAL,住宅,夜間,遅延注意
ORD-11632,名古屋,ヤマト運輸, 390km ,1.9,RAIN, 55 ,4.9h,0,"8,392",79, 4.4年 , 1回 , 繁忙期 ,住宅,MORNING,通常
