注文ID,地域,配送会社,距離,荷物重量,天気,交通量,発送準備時間,過去遅延回数,注文金額,当日配送件数,ドライバー経験年数,再配達回数,時期,配送先種別,配達希望時間帯,配送状態
ORD-12073,沖縄,日本郵便,502.0,5.8,雨,61.0,6.6,3.0,7275.0,146.0,1.0,0.0,通常期,住宅,午後,遅延危険
ORD-20950,北海道,ヤマト運輸,458.0,3.8,晴れ,54.0,5.1,0.0,8414.0,92.0,7.0,0.0,通常期,会社,午前,通常
ORD-08529,東京,ヤマト運輸,13.0,,晴れ,52.0,1.4,0.0,3968.0,127.0,2.0,0.0,通常期,住宅,夜間,通常
ORD-19882,沖縄,ヤマト運輸,487.0,2.3,雨,99.0,3.2,1.0,11319.0,72.0,4.2,0.0,通常期,住宅,午前,遅延注意
ORD-07932,広島,ヤマト運輸,520.0,4.2,晴れ,53.0,1.1,4.0,2767.0,27.0,6.9,1.0,通常期,会社,午後,通常
ORD-10831,名古屋,ヤマト運輸,499.0,8.9,雪,58.0,3.4,1.0,2883.0,114.0,,0.0,通常期,住宅,午前,通常
ORD-17224,名古屋,ヤマト運輸,,2.2,雨,43.0,2.0,5.0,3782.0,117.0,0.5,1.0,通常期,住宅,午後,遅延危険
ORD-28973,仙台,ヤマト運輸,165.0,2.2,晴れ,100.0,,4.0,3280.0,78.0,1.1,0.0,通常期,会社,夜間,遅延注意
ORD-07488,沖縄,ヤマト運輸,431.0,2.6,晴れ,,2.7,0.0,6105.0,145.0,1.3,1.0,通常期,住宅,夜間,通常
ORD-10228,北海道,日本郵便,520.0,7.8,晴れ,23.0,2.6,0.0,12681.0,118.0,2.2,0.0,通常期,住宅,夜間,通常
ORD-10838,大阪,ヤマト運輸,321.0,1.6,晴れ,85.0,,0.0,4027.0,110.0,5.9,0.0,通常期,住宅,午前,通常
ORD-27006,名古屋,ヤマト運輸,367.0,1.9,晴れ,38.0,8.7,1.0,23114.0,126.0,1.2,0.0,通常期,会社,午後,通常
ORD-07669,愛知,佐川急便,431.0,3.7,晴れ,25.0,4.6,1.0,4153.0,78.0,6.5,0.0,繁忙期,住宅,午後,通常
ORD-09342,愛知,佐川急便,411.0,3.9,雨,,1.3,4.0,6348.0,90.0,2.1,0.0,通常期,住宅,午後,通常
ORD-07248,大阪,ヤマト運輸,235.0,2.1,雨,25.0,3.5,1.0,10781.0,39.0,2.1,0.0,通常期,住宅,午後,通常
ORD-17781,広島,日本郵便,252.0,5.0,雨,46.0,1.2,0.0,6878.0,87.0,2.2,1.0,通常期,住宅,午後,通常
ORD-00978,沖縄,佐川急便,383.0,1.1,雪,54.0,,4.0,9880.0,62.0,4.1,0.0,繁忙期,住宅,午後,遅延注意
ORD-20135,広島,日本郵便,426.0,1.3,晴れ,33.0,3.1,0.0,3481.0,86.0,9.2,,通常期,住宅,午後,通常
ORD-07787,愛知,佐川急便,560.0,3.2,晴れ,77.0,4.6,3.0,3945.0,129.0,,0.0,通常期,住宅,午後,通常
ORD-08672,大阪,佐川急便,181.0,2.7,雨,53.0,3.1,0.0,10953.0,95.0,1.6,0.0,通常期,住宅,午前,通常
ORD-03823,福岡,日本郵便,337.0,2.6,晴れ,42.0,3.2,0.0,2037.0,89.0,3.2,0.0,通常期,住宅,午後,通常
ORD-23693,福岡,ヤマト運輸,,1.6,雪,28.0,2.9,0.0,12573.0,126.0,3.1,0.0,通常期,会社,午後,通常
ORD-24917,愛知,ヤマト運輸,389.0,1.1,晴れ,20.0,5.0,0.0,5639.0,132.0,7.2,0.0,繁忙期,会社,午後,通常
ORD-07996,東京,佐川急便,310.0,7.9,晴れ,58.0,1.4,0.0,3404.0,64.0,7.7,0.0,通常期,住宅,午前,通常
ORD-21389,北海道,佐川急便,472.0,5.9,晴れ,34.0,4.0,1.0,2783.0,83.0,5.7,0.0,通常期,住宅,午後,通常
ORD-27071,東京,佐川急便,306.0,3.4,晴れ,44.0,6.3,3.0,7403.0,35.0,1.4,0.0,通常期,会社,午前,通常
ORD-24351,北海道,日本郵便,189.0,1.7,雪,83.0,1.1,0.0,5834.0,127.0,1.8,0.0,繁忙期,住宅,午後,遅延注意
ORD-21371,東京,佐川急便,474.0,2.8,晴れ,53.0,300.0,4.0,8186.0,76.0,1.2,0.0,通常期,住宅,午前,通常
ORD-23254,広島,佐川急便,361.0,7.2,晴れ,25.0,3.7,2.0,8398.0,67.0,,0.0,通常期,住宅,午前,通常
ORD-28398,大阪,ヤマト運輸,265.0,1.3,晴れ,18.0,2.5,0.0,5865.0,161.0,0.5,0.0,通常期,住宅,午後,通常
ORD-16436,名古屋,日本郵便,363.0,8.6,晴れ,69.0,2.9,1.0,8075.0,88.0,5.8,0.0,通常期,住宅,夜間,遅延注意
ORD-21942,福岡,日本郵便,370.0,1.2,雨,56.0,4.2,0.0,8111.0,82.0,0.3,0.0,通常期,住宅,午後,通常
ORD-01991,東京,佐川急便,91.0,0.6,晴れ,63.0,3.5,1.0,755.0,87.0,7.2,0.0,通常期,会社,午後,通常
ORD-22015,東京,佐川急便,176.0,1.0,雨,,3.3,0.0,21130.0,196.0,0.3,1.0,繁忙期,住宅,午前,遅延注意
ORD-22973,北海道,日本郵便,239.0,6.6,晴れ,58.0,1.5,2.0,17025.0,140.0,0.4,0.0,通常期,会社,午前,通常
ORD-04716,名古屋,佐川急便,275.0,1.2,晴れ,84.0,4.3,0.0,8550.0,105.0,1.0,0.0,繁忙期,住宅,午後,通常
ORD-13737,広島,佐川急便,558.0,3.2,雪,88.0,3.2,0.0,8844.0,93.0,4.5,0.0,通常期,住宅,午前,遅延注意
ORD-12710,宮城,ヤマト運輸,529.0,3.5,晴れ,30.0,0.8,1.0,5356.0,197.0,11.9,2.0,通常期,住宅,夜間,通常
ORD-11235,北海道,日本郵便,373.0,4.7,雨,41.0,2.4,0.0,10080.0,66.0,99.0,0.0,通常期,住宅,午前,通常
ORD-22804,福岡,日本郵便,126.0,1.4,晴れ,36.0,1.6,1.0,4359.0,141.0,1.8,0.0,通常期,会社,午後,通常
ORD-18816,大阪,佐川急便,662.0,7.7,雨,44.0,2.6,0.0,7082.0,171.0,18.0,0.0,繁忙期,住宅,午前,遅延注意
ORD-23383,愛知,ヤマト運輸,328.0,2.6,晴れ,94.0,2.2,1.0,5337.0,33.0,11.6,0.0,通常期,住宅,午後,通常
ORD-04510,広島,佐川急便,333.0,0.8,雨,44.0,2.9,1.0,2838.0,116.0,5.1,0.0,繁忙期,会社,午後,通常
ORD-08670,北海道,ヤマト運輸,471.0,4.7,晴れ,37.0,6.7,0.0,14214.0,119.0,0.3,0.0,通常期,住宅,午後,通常
ORD-01330,大阪,ヤマト運輸,149.0,4.4,雪,35.0,10.4,1.0,,84.0,0.6,1.0,通常期,会社,午後,遅延注意
ORD-03763,広島,日本郵便,383.0,5.6,晴れ,91.0,2.5,0.0,2574.0,67.0,0.4,0.0,通常期,住宅,午後,通常
ORD-12396,東京,ヤマト運輸,288.0,2.0,晴れ,94.0,,0.0,2102.0,116.0,0.3,0.0,通常期,住宅,午後,通常
ORD-04016,広島,佐川急便,536.0,2.0,雪,26.0,2.4,1.0,,123.0,6.4,2.0,通常期,住宅,午後,遅延注意
ORD-02328,愛知,ヤマト運輸,407.0,6.2,晴れ,25.0,1.3,0.0,2629.0,86.0,3.6,1.0,通常期,住宅,午後,通常
ORD-25517,福岡,ヤマト運輸,290.0,5.3,雨,54.0,2.1,1.0,3274.0,88.0,6.0,0.0,通常期,会社,午前,通常
ORD-04986,北海道,ヤマト運輸,86.0,1.3,晴れ,52.0,2.0,,11790.0,129.0,0.1,0.0,通常期,住宅,午後,通常
ORD-15145,北海道,日本郵便,121.0,1.8,雨,36.0,3.0,1.0,4975.0,115.0,8.3,3.0,通常期,住宅,午後,通常
ORD-23803,仙台,日本郵便,299.0,1.0,晴れ,24.0,0.9,0.0,9325.0,83.0,,0.0,通常期,会社,午後,通常
ORD-08611,北海道,日本郵便,464.0,2.6,雪,51.0,2.6,1.0,6852.0,83.0,2.1,1.0,通常期,住宅,夜間,遅延注意
ORD-17243,福岡,日本郵便,271.0,3.2,晴れ,74.0,3.2,3.0,7575.0,125.0,1.1,0.0,通常期,住宅,午前,遅延注意
ORD-12332,名古屋,佐川急便,195.0,1.7,晴れ,65.0,1.7,2.0,19691.0,86.0,5.2,0.0,繁忙期,住宅,午後,遅延注意
ORD-05321,広島,日本郵便,769.0,2.2,晴れ,71.0,3.8,0.0,6184.0,79.0,0.0,1.0,通常期,住宅,午後,遅延注意
ORD-29029,宮城,ヤマト運輸,333.0,2.7,晴れ,61.0,5.0,3.0,2474.0,17.0,0.6,2.0,通常期,会社,午後,遅延注意
ORD-18658,大阪,日本郵便,268.0,3.5,晴れ,67.0,4.9,0.0,1568.0,150.0,0.5,0.0,通常期,住宅,午後,通常
ORD-19583,北海道,日本郵便,699.0,4.3,晴れ,35.0,1.2,3.0,1355.0,82.0,2.2,0.0,通常期,住宅,午前,通常
ORD-02825,宮城,日本郵便,,5.7,雪,24.0,4.3,0.0,6890.0,130.0,3.7,0.0,通常期,住宅,午後,遅延注意
ORD-22866,大阪,佐川急便,315.0,5.3,晴れ,20.0,2.6,1.0,,127.0,8.3,0.0,通常期,会社,夜間,通常
ORD-13540,北海道,ヤマト運輸,423.0,3.9,晴れ,48.0,7.7,0.0,4245.0,109.0,14.5,1.0,繁忙期,会社,午前,通常
ORD-05215,広島,日本郵便,307.0,2.2,雨,21.0,4.3,0.0,28908.0,62.0,0.7,0.0,通常期,会社,夜間,通常
ORD-00844,愛知,日本郵便,446.0,6.3,晴れ,46.0,3.1,0.0,15318.0,103.0,4.8,0.0,通常期,住宅,午前,通常
ORD-18438,東京,佐川急便,12.0,4.7,雨,51.0,7.6,0.0,9148.0,89.0,15.6,0.0,通常期,住宅,午前,通常
ORD-12729,沖縄,佐川急便,610.0,1.7,晴れ,38.0,2.6,0.0,7140.0,30.0,4.1,0.0,繁忙期,住宅,午前,通常
ORD-06623,広島,日本郵便,285.0,1.5,雪,23.0,2.8,2.0,3057.0,141.0,6.3,0.0,繁忙期,住宅,夜間,遅延注意
ORD-13927,大阪,佐川急便,405.0,6.3,雪,46.0,2.5,4.0,8616.0,128.0,0.5,1.0,通常期,住宅,午前,遅延注意
ORD-03852,沖縄,佐川急便,591.0,4.8,晴れ,50.0,3.3,0.0,3514.0,85.0,0.5,0.0,通常期,会社,午後,通常
ORD-25760,大阪,日本郵便,195.0,10.6,晴れ,23.0,,0.0,6555.0,98.0,9.2,0.0,通常期,住宅,午後,通常
ORD-09238,東京,ヤマト運輸,,2.0,雪,1.0,1.0,1.0,5422.0,166.0,0.1,1.0,繁忙期,住宅,午前,遅延注意
ORD-24489,東京,ヤマト運輸,199.0,5.5,晴れ,29.0,2.3,0.0,1729.0,73.0,2.4,0.0,通常期,住宅,午前,通常
ORD-18259,北海道,ヤマト運輸,249.0,4.9,晴れ,45.0,5.0,0.0,8383.0,154.0,5.0,1.0,通常期,住宅,午後,通常
ORD-08893,沖縄,佐川急便,521.0,3.5,雨,39.0,2.5,0.0,1495.0,67.0,8.7,0.0,繁忙期,住宅,午後,通常
ORD-28385,大阪,佐川急便,456.0,,晴れ,60.0,1.8,4.0,6410.0,44.0,1.4,0.0,通常期,住宅,夜間,遅延注意
ORD-03422,広島,日本郵便,314.0,2.3,晴れ,49.0,2.8,0.0,3171.0,95.0,1.0,1.0,繁忙期,住宅,夜間,遅延注意
ORD-13691,沖縄,佐川急便,480.0,2.4,晴れ,19.0,1.2,3.0,1587.0,105.0,14.0,0.0,通常期,住宅,午後,通常
ORD-23076,東京,日本郵便,384.0,0.6,雨,63.0,3.9,2.0,17367.0,86.0,4.3,0.0,繁忙期,住宅,午前,通常
ORD-21515,東京,ヤマト運輸,259.0,4.3,晴れ,74.0,4.9,,6832.0,123.0,5.0,1.0,通常期,住宅,夜間,通常
ORD-12195,福岡,日本郵便,537.0,1.5,晴れ,45.0,1.7,0.0,6748.0,136.0,8.5,0.0,通常期,会社,午後,通常
ORD-02932,大阪,日本郵便,196.0,3.5,晴れ,56.0,6.8,2.0,4894.0,89.0,11.8,0.0,通常期,住宅,午後,通常
ORD-11814,広島,日本郵便,270.0,1.9,晴れ,17.0,2.5,0.0,7525.0,158.0,4.9,0.0,通常期,住宅,午後,通常
ORD-19822,宮城,ヤマト運輸,444.0,3.1,晴れ,47.0,3.2,0.0,21176.0,50.0,9.0,1.0,繁忙期,住宅,午後,通常
ORD-02475,北海道,ヤマト運輸,287.0,6.3,雨,22.0,1.3,0.0,,132.0,1.8,0.0,通常期,住宅,午後,通常
ORD-13114,沖縄,ヤマト運輸,868.0,6.9,晴れ,68.0,3.6,3.0,5140.0,137.0,6.9,0.0,繁忙期,住宅,夜間,遅延注意
ORD-18497,宮城,佐川急便,452.0,3.1,晴れ,51.0,3.0,3.0,2552.0,164.0,1.1,1.0,通常期,会社,午前,遅延注意
ORD-05944,東京,ヤマト運輸,5.0,2.2,晴れ,21.0,4.1,0.0,3459.0,95.0,4.7,0.0,繁忙期,住宅,夜間,通常
ORD-28666,愛知,ヤマト運輸,350.0,3.5,雨,42.0,4.4,0.0,5651.0,60.0,5.5,0.0,通常期,住宅,夜間,通常
ORD-27667,沖縄,日本郵便,365.0,1.8,晴れ,82.0,5.3,2.0,4948.0,58.0,0.6,0.0,通常期,会社,夜間,通常
ORD-19707,北海道,ヤマト運輸,412.0,5.6,雪,71.0,2.5,0.0,3952.0,42.0,2.3,0.0,繁忙期,住宅,午前,遅延注意
ORD-10890,宮城,佐川急便,217.0,3.6,雨,35.0,2.7,1.0,2854.0,96.0,0.1,0.0,通常期,住宅,夜間,通常
ORD-22959,仙台,ヤマト運輸,724.0,3.5,晴れ,26.0,3.4,1.0,1348.0,121.0,2.9,0.0,通常期,会社,午前,通常
ORD-21037,東京,日本郵便,,3.0,雪,57.0,,2.0,3435.0,117.0,0.3,0.0,通常期,住宅,夜間,遅延注意
ORD-22206,沖縄,日本郵便,558.0,5.1,雨,23.0,1.5,0.0,4245.0,116.0,4.7,0.0,通常期,住宅,午後,通常
ORD-29645,福岡,日本郵便,372.0,26.7,雪,74.0,2.2,0.0,4268.0,108.0,1.2,0.0,通常期,住宅,夜間,遅延危険
ORD-12310,沖縄,佐川急便,752.0,2.2,晴れ,35.0,,4.0,4124.0,79.0,6.2,0.0,通常期,住宅,午後,通常
ORD-28202,大阪,佐川急便,306.0,1.2,雪,39.0,4.7,4.0,2735.0,155.0,6.9,0.0,通常期,会社,夜間,遅延注意
ORD-06158,宮城,ヤマト運輸,536.0,4.1,晴れ,38.0,2.8,2.0,4680.0,83.0,5.4,0.0,通常期,会社,午前,通常
ORD-01434,東京,日本郵便,142.0,2.7,晴れ,,5.8,0.0,6666.0,196.0,1.7,2.0,通常期,住宅,午後,通常
ORD-03442,福岡,日本郵便,362.0,0.7,雨,22.0,6.4,0.0,6284.0,162.0,2.9,0.0,繁忙期,会社,午後,通常
ORD-15041,仙台,佐川急便,304.0,6.6,雨,0.0,3.3,1.0,2415.0,102.0,6.1,0.0,通常期,住宅,午後,通常
ORD-23534,福岡,佐川急便,,3.6,雪,35.0,,1.0,3756.0,24.0,3.4,1.0,通常期,住宅,午前,通常
ORD-11046,福岡,日本郵便,,2.3,晴れ,35.0,1.9,0.0,15376.0,119.0,0.1,0.0,通常期,住宅,夜間,通常
ORD-08301,東京,日本郵便,446.0,0.7,雨,50.0,2.4,2.0,6115.0,77.0,,1.0,通常期,住宅,夜間,通常
ORD-25604,沖縄,佐川急便,397.0,2.0,晴れ,47.0,2.5,2.0,2299.0,77.0,2.0,0.0,通常期,住宅,午後,通常
ORD-09023,大阪,ヤマト運輸,239.0,0.6,晴れ,62.0,1.9,0.0,2070.0,151.0,8.5,1.0,繁忙期,会社,夜間,遅延注意
ORD-12595,仙台,佐川急便,313.0,1.8,晴れ,12.0,3.4,,1815.0,68.0,2.9,0.0,通常期,住宅,午後,通常
ORD-05458,沖縄,ヤマト運輸,411.0,1.0,雪,0.0,1.4,0.0,846.0,90.0,2.1,0.0,通常期,住宅,午後,通常
ORD-24015,福岡,ヤマト運輸,544.0,1.4,晴れ,41.0,2.5,0.0,7033.0,66.0,5.7,0.0,通常期,住宅,夜間,通常
ORD-28074,愛知,佐川急便,617.0,2.3,晴れ,27.0,1.9,2.0,3006.0,55.0,13.5,0.0,繁忙期,住宅,夜間,通常
ORD-19604,東京,佐川急便,331.0,6.3,雨,68.0,1.5,2.0,4628.0,88.0,4.6,0.0,通常期,住宅,午後,遅延注意
ORD-21932,大阪,佐川急便,175.0,0.5,晴れ,21.0,1.1,2.0,10729.0,162.0,13.1,0.0,繁忙期,住宅,午前,通常
ORD-02108,大阪,日本郵便,303.0,2.3,晴れ,81.0,2.4,0.0,7218.0,98.0,3.5,0.0,繁忙期,住宅,午後,通常
ORD-14868,宮城,ヤマト運輸,421.0,2.5,晴れ,46.0,1.6,0.0,4627.0,150.0,0.6,2.0,繁忙期,住宅,夜間,遅延注意
ORD-06598,沖縄,日本郵便,392.0,2.0,雨,30.0,2.1,0.0,7378.0,88.0,,0.0,繁忙期,住宅,午後,通常
ORD-05318,愛知,佐川急便,374.0,4.8,晴れ,33.0,4.5,0.0,8765.0,124.0,13.4,0.0,繁忙期,住宅,午前,通常
ORD-02700,仙台,日本郵便,296.0,1.7,晴れ,28.0,2.5,1.0,14100.0,99.0,1.0,0.0,通常期,住宅,午後,通常
ORD-06690,福岡,ヤマト運輸,5.0,3.6,晴れ,88.0,2.6,0.0,3260.0,141.0,0.2,1.0,繁忙期,住宅,夜間,遅延注意
ORD-16089,沖縄,佐川急便,463.0,2.8,晴れ,72.0,2.9,0.0,13294.0,134.0,5.5,0.0,通常期,住宅,午後,通常
ORD-01868,宮城,ヤマト運輸,516.0,,雨,5.0,3.0,0.0,1220.0,137.0,3.2,0.0,繁忙期,住宅,夜間,遅延注意
ORD-24841,沖縄,ヤマト運輸,466.0,1.9,雨,23.0,3.6,,1810.0,74.0,1.6,0.0,通常期,住宅,午後,通常
ORD-03293,広島,日本郵便,273.0,1.4,晴れ,34.0,4.7,3.0,7161.0,135.0,7.5,3.0,通常期,住宅,午後,通常
ORD-05181,大阪,ヤマト運輸,300.0,1.8,晴れ,25.0,1.7,0.0,2261.0,91.0,10.1,0.0,繁忙期,住宅,夜間,通常
ORD-15185,福岡,日本郵便,251.0,2.4,雨,44.0,3.4,0.0,8686.0,89.0,6.4,1.0,繁忙期,住宅,夜間,遅延注意
ORD-03988,名古屋,ヤマト運輸,239.0,2.7,雨,69.0,1.6,3.0,4829.0,220.0,8.0,0.0,繁忙期,住宅,午後,遅延注意
ORD-11777,東京,佐川急便,340.0,7.6,晴れ,81.0,5.1,0.0,5493.0,96.0,0.3,0.0,通常期,住宅,午後,遅延注意
ORD-06906,福岡,佐川急便,443.0,1.7,雪,8.0,1.7,0.0,,85.0,9.4,0.0,通常期,住宅,午後,通常
ORD-00432,宮城,日本郵便,451.0,,晴れ,82.0,2.2,1.0,4115.0,103.0,1.6,,通常期,住宅,午後,通常
ORD-12621,大阪,ヤマト運輸,104.0,1.1,雨,35.0,2.3,1.0,7332.0,146.0,6.1,2.0,繁忙期,住宅,午前,通常
ORD-22091,広島,佐川急便,30.0,3.2,晴れ,2.0,1.9,0.0,7478.0,120.0,30.0,0.0,通常期,会社,午後,通常
ORD-09567,北海道,佐川急便,457.0,4.4,雪,72.0,,0.0,5158.0,126.0,6.4,0.0,通常期,住宅,夜間,遅延注意
ORD-20281,愛知,ヤマト運輸,394.0,5.9,雨,46.0,2.7,1.0,2559.0,136.0,5.8,0.0,通常期,住宅,午前,通常
ORD-08271,広島,ヤマト運輸,308.0,3.9,晴れ,55.0,3.5,2.0,3241.0,62.0,1.2,0.0,通常期,会社,午後,遅延注意
ORD-03870,福岡,ヤマト運輸,298.0,1.5,晴れ,20.0,3.7,0.0,13225.0,56.0,2.2,1.0,通常期,住宅,午前,通常
ORD-28738,福岡,ヤマト運輸,377.0,11.4,雪,62.0,1.0,0.0,1635.0,115.0,3.3,0.0,通常期,住宅,午前,通常
ORD-29522,東京,ヤマト運輸,,8.8,晴れ,56.0,1.6,1.0,3949.0,132.0,0.3,0.0,通常期,住宅,午前,通常
ORD-04678,沖縄,佐川急便,520.0,4.6,雨,31.0,,1.0,3546.0,158.0,3.3,0.0,通常期,会社,夜間,遅延注意
ORD-28323,東京,佐川急便,5.0,14.7,雨,31.0,1.5,4.0,8429.0,82.0,,0.0,繁忙期,住宅,夜間,遅延注意
ORD-00301,福岡,日本郵便,496.0,10.2,晴れ,39.0,4.8,0.0,1201.0,138.0,6.7,0.0,通常期,住宅,午前,通常
ORD-21378,大阪,日本郵便,231.0,6.3,雨,61.0,3.4,1.0,7601.0,132.0,2.0,0.0,通常期,会社,午後,通常
ORD-29329,北海道,日本郵便,404.0,2.4,晴れ,76.0,,2.0,5416.0,51.0,0.5,1.0,通常期,住宅,午後,遅延注意
ORD-15638,広島,日本郵便,472.0,9.4,雨,82.0,3.1,5.0,1366.0,107.0,0.1,0.0,通常期,会社,午後,遅延注意
ORD-22164,大阪,ヤマト運輸,344.0,5.7,雨,23.0,4.5,0.0,2053.0,119.0,15.1,0.0,繁忙期,会社,夜間,通常
ORD-23296,沖縄,日本郵便,411.0,,雨,75.0,1.9,1.0,4769.0,22.0,0.1,2.0,通常期,住宅,午後,遅延注意
ORD-13340,広島,ヤマト運輸,346.0,3.6,雨,83.0,0.7,1.0,5278.0,134.0,2.4,0.0,通常期,住宅,夜間,遅延注意
ORD-14983,広島,ヤマト運輸,299.0,5.8,雨,37.0,5.7,1.0,4357.0,119.0,7.1,0.0,繁忙期,住宅,夜間,通常
ORD-10082,東京,日本郵便,327.0,1.2,晴れ,84.0,2.5,0.0,11877.0,58.0,4.3,0.0,繁忙期,会社,午前,遅延注意
ORD-17301,仙台,ヤマト運輸,506.0,11.0,晴れ,45.0,1.1,0.0,2648.0,123.0,5.4,0.0,通常期,住宅,午後,通常
ORD-27140,広島,佐川急便,481.0,3.6,雪,70.0,2.9,3.0,1935.0,57.0,15.9,0.0,通常期,住宅,午後,遅延注意
ORD-29307,東京,日本郵便,331.0,1.3,雨,67.0,0.8,1.0,8465.0,149.0,11.0,0.0,通常期,住宅,午前,遅延注意
ORD-02009,大阪,佐川急便,429.0,4.4,雨,13.0,,0.0,3391.0,183.0,1.7,0.0,通常期,会社,午後,通常
ORD-09635,愛知,日本郵便,565.0,4.4,晴れ,58.0,3.2,0.0,8678.0,61.0,3.2,1.0,繁忙期,会社,午後,通常
ORD-00289,福岡,日本郵便,269.0,1.8,雨,54.0,4.4,2.0,9727.0,56.0,0.4,0.0,通常期,住宅,夜間,遅延注意
ORD-09094,宮城,ヤマト運輸,315.0,7.1,晴れ,78.0,2.0,0.0,15309.0,106.0,0.9,0.0,通常期,住宅,午後,遅延注意
ORD-05212,沖縄,日本郵便,637.0,5.5,晴れ,28.0,,2.0,2320.0,82.0,8.4,0.0,通常期,住宅,午前,通常
ORD-09291,福岡,佐川急便,362.0,2.3,晴れ,16.0,3.0,0.0,10745.0,133.0,1.4,0.0,繁忙期,住宅,夜間,通常
ORD-10964,大阪,日本郵便,260.0,1.0,晴れ,48.0,5.4,0.0,5861.0,88.0,9.4,,通常期,会社,午後,通常
ORD-20969,福岡,ヤマト運輸,160.0,3.5,晴れ,41.0,2.2,0.0,6056.0,146.0,,0.0,繁忙期,住宅,夜間,通常
ORD-14276,福岡,ヤマト運輸,176.0,3.4,雪,32.0,1.7,0.0,4521.0,102.0,1.4,0.0,通常期,住宅,夜間,遅延注意
ORD-11632,名古屋,ヤマト運輸,390.0,1.9,雨,55.0,4.9,0.0,8392.0,79.0,4.4,1.0,繁忙期,住宅,午前,通常
ORD-18920,東京,佐川急便,10.0,6.6,雪,24.0,3.3,0.0,6151.0,101.0,0.8,0.0,繁忙期,住宅,夜間,通常
ORD-15334,東京,佐川急便,140.0,1.9,晴れ,54.0,13.7,0.0,1836.0,88.0,1.5,0.0,通常期,住宅,午後,通常
ORD-21311,大阪,ヤマト運輸,327.0,3.2,晴れ,57.0,1.3,4.0,2507.0,121.0,3.0,0.0,通常期,会社,午後,遅延注意
ORD-16752,大阪,佐川急便,488.0,1.4,晴れ,46.0,4.6,0.0,4336.0,136.0,10.3,,通常期,住宅,午後,通常
ORD-23975,愛知,ヤマト運輸,471.0,5.2,晴れ,45.0,1.4,2.0,3452.0,139.0,2.3,0.0,繁忙期,会社,午前,通常
ORD-11995,仙台,日本郵便,319.0,5.0,晴れ,8.0,3.6,0.0,4550.0,85.0,11.1,1.0,繁忙期,住宅,午後,通常
ORD-00587,東京,佐川急便,324.0,2.1,晴れ,84.0,3.2,0.0,,92.0,2.2,0.0,通常期,住宅,午前,通常
ORD-26334,東京,佐川急便,196.0,2.3,晴れ,4.0,3.3,1.0,2881.0,12.0,0.1,0.0,通常期,住宅,夜間,通常
